Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
339557,Low,44,0.1818181818181818,26.0,0.6096723932613433,0.7723821891604681,0.8157205114017549,1,Unknown,2.2392936,2.1016326,True Prime,General,,-1.793799597308294,False
378241,Mid,14,0.7142857142857143,12.0,0.5731341189056601,0.7723936293659343,0.8179149034927475,1,Unknown,-0.622696,2.0073276,True Prime,General,,-1.7929053613592119,False
487423,Low,30,0.7333333333333333,26.0,0.6506379084582782,0.7724053312497074,0.8178365480096517,1,Unknown,2.519738,3.6347206,True Prime,General,,-1.791990671044172,False
491201,Mid,42,0.4285714285714285,30.0,0.6669499923401581,0.7724290638280233,0.8177459239052461,1,Unknown,5.2111998,4.731832,True Prime,General,,-1.7901355885670929,False
382103,Low,30,0.0666666666666666,16.0,0.5995052008806524,0.7724802527421802,0.8177868750365715,1,Low,1.3398226,5.0246816,True Prime,General,,-1.7861343521060054,False
211741,Mid,20,0.4,14.0,0.5719555420293835,0.7724925147127458,0.8174462013070241,1,Unknown,7.0057507,6.2142916,True Prime,General,,-1.7851758820052055,False
538511,Low,26,0.8461538461538461,24.0,0.625557200645511,0.7725190075312157,0.8178178788678001,1,Low,3.64113,5.1804156,True Prime,General,,-1.7831050423914994,False
382351,Mid,26,0.5384615384615384,20.0,0.5761246791220943,0.7725938565134516,0.8158898452841415,1,Unknown,4.2828546,5.266766,True Prime,General,,-1.777254391293891,False
530303,High,32,0.625,26.0,0.6497593353441364,0.7726927224872422,0.8163829030626623,1,Unknown,6.9502764,8.443256,True Prime,General,,-1.7695264262528785,False
530507,Mid,12,0.0,6.0,0.6743237351646114,0.7727125020720618,0.8178192875826,1,Unknown,3.726635,2.944473,True Prime,General,,-1.767980333758658,False
382303,Mid,60,0.0666666666666666,32.0,0.6266255638883764,0.7728087454469466,0.8168466000646073,1,Unknown,-0.11627622,2.5201113,True Prime,General,,-1.7604573669782575,False
320741,Low,46,0.217391304347826,28.0,0.6117673394036572,0.7728590999419997,0.8161020400269807,1,Unknown,2.256182,3.1543374,True Prime,General,,-1.7565213537827256,False
